x0,y0,x1,y1,x2,y2,x3,y3,x4,y4
100.0,6.3,100.0,6.3,100.0,6.3,100.0,6.3,100.0,6.3
103.01507537688443,5.404377829547509,103.01507537688443,6.3,103.01507537688443,6.3,103.01507537688443,6.3,103.01507537688443,6.3
106.03015075376884,4.501762720211371,106.03015075376884,6.3,106.03015075376884,6.3,106.03015075376884,6.3,106.03015075376884,6.3
109.04522613065328,3.756804915764133,109.04522613065328,6.3,109.04522613065328,6.3,109.04522613065328,6.3,109.04522613065328,6.3
112.06030150753769,3.1411451969976882,112.06030150753769,6.3,112.06030150753769,6.3,112.06030150753769,6.3,112.06030150753769,6.3
115.07537688442211,2.6319165125056108,115.07537688442211,6.3,115.07537688442211,6.3,115.07537688442211,6.3,115.07537688442211,6.3
118.09045226130654,2.2105922620761476,118.09045226130654,6.3,118.09045226130654,6.3,118.09045226130654,6.3,118.09045226130654,6.3
121.10552763819096,1.8620951911051793,121.10552763819096,6.3,121.10552763819096,6.3,121.10552763819096,6.3,121.10552763819096,6.3
124.12060301507537,1.5741036262338093,124.12060301507537,6.3,124.12060301507537,6.3,124.12060301507537,6.3,124.12060301507537,6.3
127.1356783919598,1.3365081642669907,127.1356783919598,6.3,127.1356783919598,6.3,127.1356783919598,6.3,127.1356783919598,6.3
130.15075376884423,1.1409838098092133,130.15075376884423,5.553049424168071,130.15075376884423,6.3,130.15075376884423,6.3,130.15075376884423,6.3
133.16582914572865,0.9806512454690653,133.16582914572865,4.867498006161627,133.16582914572865,6.3,133.16582914572865,6.3,133.16582914572865,6.3
136.18090452261305,0.8498073186534145,136.18090452261305,4.279412764332804,136.18090452261305,6.3,136.18090452261305,6.3,136.18090452261305,6.3
139.1959798994975,0.7437095772001692,139.1959798994975,3.774516470116782,139.1959798994975,6.3,139.1959798994975,6.3,139.1959798994975,6.3
142.21105527638193,0.6584032326960005,142.21105527638193,3.3407909264687192,142.21105527638193,6.3,142.21105527638193,6.3,142.21105527638193,6.3
145.22613065326635,0.590581596528308,145.22613065326635,2.96808842324147,145.22613065326635,6.3,145.22613065326635,6.3,145.22613065326635,6.3
148.24120603015075,0.5374730504439049,148.24120603015075,2.6478155936887764,148.24120603015075,6.3,148.24120603015075,6.3,148.24120603015075,6.3
151.25628140703517,0.49674914782705226,151.25628140703517,2.3726751399322916,151.25628140703517,6.3,151.25628140703517,6.3,151.25628140703517,6.3
154.2713567839196,0.4664496159726632,154.2713567839196,2.136454018143363,154.2713567839196,6.3,154.2713567839196,6.3,154.2713567839196,6.3
157.28643216080403,0.4449209327903594,157.28643216080403,1.9338490826811823,157.28643216080403,6.3,157.28643216080403,6.3,157.28643216080403,6.3
160.30150753768845,0.4307658497205755,160.30150753768845,1.7603230555875244,160.30150753768845,6.02998944829498,160.30150753768845,6.3,160.30150753768845,6.3
163.31658291457285,0.42280177528798,163.31658291457285,1.6119851425457807,163.31658291457285,5.46779310926553,163.31658291457285,6.3,163.31658291457285,6.3
166.3316582914573,0.42002635737151484,166.3316582914573,1.485491755194861,166.3316582914573,4.9715141463956645,166.3316582914573,6.3,166.3316582914573,6.3
169.34673366834173,0.42158893452879465,169.34673366834173,1.3779636952495742,169.34673366834173,4.53316509006434,169.34673366834173,6.3,169.34673366834173,6.3
172.36180904522612,0.4267667884294202,172.36180904522612,1.286916863271267,172.36180904522612,4.145807450835921,172.36180904522612,6.3,172.36180904522612,6.3
175.37688442211055,0.43494533646783573,175.37688442211055,1.210204116063494,175.37688442211055,3.803401466578539,175.37688442211055,6.3,175.37688442211055,6.3
178.39195979899498,0.44560156803479467,178.39195979899498,1.1459663435943583,178.39195979899498,3.5006792426726836,178.39195979899498,6.3,178.39195979899498,6.3
181.40703517587943,0.4582901590031556,181.40703517587943,1.092591193713381,181.40703517587943,3.2330373496803873,181.40703517587943,6.3,181.40703517587943,6.3
184.4221105527638,0.4726318038765882,184.4221105527638,1.0486781597653145,184.4221105527638,2.9964456539327737,184.4221105527638,6.3,184.4221105527638,6.3
187.43718592964825,0.4883033892912658,187.43718592964825,1.013008977268127,187.43718592964825,2.787369730400724,187.43718592964825,6.3,187.43718592964825,6.3
190.45226130653268,0.5050297004512072,190.45226130653268,0.9845224626163662,190.45226130653268,2.602704672049333,190.45226130653268,6.3,190.45226130653268,6.3
193.4673366834171,0.5225764069742931,193.4673366834171,0.9622930782903318,193.4673366834171,2.4397184876596203,193.4673366834171,5.900662984599455,193.4673366834171,6.3
196.4824120603015,0.5407441191583393,196.4824120603015,0.945512632360975,196.4824120603015,2.2960035881521925,196.4824120603015,5.483483838928491,196.4824120603015,6.3
199.49748743718592,0.5593633419142157,199.49748743718592,0.9334746207511087,199.49748743718592,2.1694351134413123,199.49748743718592,5.107900095255268,199.49748743718592,6.3
202.51256281407035,0.5782901831894651,202.51256281407035,0.9255608031538713,202.51256281407035,2.0581350586245355,202.51256281407035,4.769650785599628,202.51256281407035,6.3
205.52763819095478,0.5974026979158583,205.52763819095478,0.9212296712214061,205.52763819095478,1.9604413284947135,205.52763819095478,4.464947941838118,205.52763819095478,6.3
208.5427135678392,0.6165977683871288,208.5427135678392,0.920006523411484,208.5427135678392,1.8748809898309209,208.5427135678392,4.190419249965037,208.5427135678392,6.3
211.5577889447236,0.6357884383301099,211.5577889447236,0.9214749069496975,211.5577889447236,1.8001471071963067,211.5577889447236,3.9430582756063517,211.5577889447236,6.3
214.57286432160805,0.6549016314309521,214.57286432160805,0.9252692255210695,214.57286432160805,1.7350786444748496,214.57286432160805,3.720181178351504,214.57286432160805,6.173971836594346
